2025-03-05 08:50:54 - INFO - train data: 13259
2025-03-05 08:50:55 - INFO - train unqiue data: 13259
2025-03-05 08:50:55 - INFO - valid data: 1474
2025-03-05 08:50:55 - INFO - valid unqiue data: 1474
2025-03-05 08:55:56 - INFO - epoch-0, train_mse_loss-0.0003604, train_kl_loss-0.0017086, val_mse_loss-0.0004524, val_kl_loss-0.0000416
2025-03-05 09:00:22 - INFO - epoch-1, train_mse_loss-0.0003335, train_kl_loss-0.0000149, val_mse_loss-0.0004219, val_kl_loss-0.0000044
2025-03-05 09:04:47 - INFO - epoch-2, train_mse_loss-0.0003340, train_kl_loss-0.0000016, val_mse_loss-0.0006256, val_kl_loss-0.0000004
2025-03-05 09:04:57 - INFO - Saved new best model at epoch 2 with validation loss 0.0006260
2025-03-05 09:09:22 - INFO - epoch-3, train_mse_loss-0.0003347, train_kl_loss-0.0000001, val_mse_loss-0.0009037, val_kl_loss-0.0000000
2025-03-05 09:13:47 - INFO - epoch-4, train_mse_loss-0.0003342, train_kl_loss-0.0000000, val_mse_loss-0.0008679, val_kl_loss-0.0000000
2025-03-05 09:18:12 - INFO - epoch-5, train_mse_loss-0.0003337, train_kl_loss--0.0000000, val_mse_loss-0.0010519, val_kl_loss--0.0000000
2025-03-05 09:22:38 - INFO - epoch-6, train_mse_loss-0.0003341, train_kl_loss--0.0000000, val_mse_loss-0.0004013, val_kl_loss--0.0000000
2025-03-05 09:22:49 - INFO - Saved new best model at epoch 6 with validation loss 0.0004013
2025-03-05 09:27:15 - INFO - epoch-7, train_mse_loss-0.0003344, train_kl_loss--0.0000000, val_mse_loss-0.0003844, val_kl_loss--0.0000000
2025-03-05 09:27:26 - INFO - Saved new best model at epoch 7 with validation loss 0.0003844
2025-03-05 09:31:42 - INFO - epoch-8, train_mse_loss-0.0003340, train_kl_loss--0.0000000, val_mse_loss-0.0005331, val_kl_loss-0.0000000
2025-03-05 09:35:59 - INFO - epoch-9, train_mse_loss-0.0003341, train_kl_loss-0.0000000, val_mse_loss-0.0005426, val_kl_loss-0.0000000
2025-03-05 09:40:18 - INFO - epoch-10, train_mse_loss-0.0003334, train_kl_loss-0.0000000, val_mse_loss-0.0003514, val_kl_loss-0.0000000
2025-03-05 09:40:27 - INFO - Saved new best model at epoch 10 with validation loss 0.0003514
