2024-12-17 11:52:59 - INFO - /mnt/cephfs/projects/2023110101_Ligand_fitting_to_EM_maps/My_Code/CryoLigate_Github/CryoLigate/GIGN/GIGN_EM/For_Elisei_Nov_2024/CryoLigate_GIGN_Unet/train_example.py
2024-12-17 11:52:59 - INFO - train data: 6806
2024-12-17 11:52:59 - INFO - valid data: 757
2024-12-17 12:23:30 - INFO - epoch-88, train_loss-0.0013
2024-12-17 12:23:47 - INFO - epoch-89, train_loss-0.0013
2024-12-17 12:24:05 - INFO - epoch-90, train_loss-0.0013
2024-12-17 12:24:22 - INFO - epoch-91, train_loss-0.0015
2024-12-17 12:24:40 - INFO - epoch-92, train_loss-0.0010
2024-12-17 12:24:58 - INFO - epoch-93, train_loss-0.0016
2024-12-17 12:25:15 - INFO - epoch-94, train_loss-0.0013
2024-12-17 12:25:33 - INFO - epoch-95, train_loss-0.0013
2024-12-17 12:25:51 - INFO - epoch-96, train_loss-0.0011
2024-12-17 12:26:08 - INFO - epoch-97, train_loss-0.0015
2024-12-17 12:26:26 - INFO - epoch-98, train_loss-0.0015
2024-12-17 12:26:44 - INFO - epoch-99, train_loss-0.0014
2024-12-17 12:27:01 - INFO - epoch-100, train_loss-0.0012
2024-12-17 12:27:19 - INFO - epoch-101, train_loss-0.0012
2024-12-17 12:27:36 - INFO - epoch-102, train_loss-0.0013
2024-12-17 12:27:54 - INFO - epoch-103, train_loss-0.0014
2024-12-17 12:28:12 - INFO - epoch-104, train_loss-0.0014
2024-12-17 12:28:29 - INFO - epoch-105, train_loss-0.0013
2024-12-17 12:28:47 - INFO - epoch-106, train_loss-0.0020
2024-12-17 12:29:05 - INFO - epoch-107, train_loss-0.0017
2024-12-17 12:29:22 - INFO - epoch-108, train_loss-0.0018
2024-12-17 12:29:40 - INFO - epoch-109, train_loss-0.0010
2024-12-17 12:29:57 - INFO - epoch-110, train_loss-0.0017
2024-12-17 12:30:15 - INFO - epoch-111, train_loss-0.0014
2024-12-17 12:30:33 - INFO - epoch-112, train_loss-0.0016
2024-12-17 12:30:50 - INFO - epoch-113, train_loss-0.0011
2024-12-17 12:31:08 - INFO - epoch-114, train_loss-0.0015
2024-12-17 12:31:26 - INFO - epoch-115, train_loss-0.0015
2024-12-17 12:31:43 - INFO - epoch-116, train_loss-0.0012
2024-12-17 12:32:01 - INFO - epoch-117, train_loss-0.0017
2024-12-17 12:32:19 - INFO - epoch-118, train_loss-0.0012
2024-12-17 12:32:36 - INFO - epoch-119, train_loss-0.0013
2024-12-17 12:32:54 - INFO - epoch-120, train_loss-0.0016
2024-12-17 12:33:12 - INFO - epoch-121, train_loss-0.0015
2024-12-17 12:33:29 - INFO - epoch-122, train_loss-0.0013
2024-12-17 12:33:47 - INFO - epoch-123, train_loss-0.0014
2024-12-17 12:34:05 - INFO - epoch-124, train_loss-0.0016
2024-12-17 12:34:22 - INFO - epoch-125, train_loss-0.0015
2024-12-17 12:34:40 - INFO - epoch-126, train_loss-0.0011
2024-12-17 12:34:58 - INFO - epoch-127, train_loss-0.0012
2024-12-17 12:35:15 - INFO - epoch-128, train_loss-0.0014
2024-12-17 12:35:33 - INFO - epoch-129, train_loss-0.0011
2024-12-17 12:35:51 - INFO - epoch-130, train_loss-0.0014
2024-12-17 12:36:08 - INFO - epoch-131, train_loss-0.0011
2024-12-17 12:36:26 - INFO - epoch-132, train_loss-0.0013
2024-12-17 12:36:44 - INFO - epoch-133, train_loss-0.0010
2024-12-17 12:37:01 - INFO - epoch-134, train_loss-0.0014
2024-12-17 12:37:19 - INFO - epoch-135, train_loss-0.0013
2024-12-17 12:37:37 - INFO - epoch-136, train_loss-0.0012
2024-12-17 12:37:54 - INFO - epoch-137, train_loss-0.0011
2024-12-17 12:38:12 - INFO - epoch-138, train_loss-0.0014
2024-12-17 12:38:30 - INFO - epoch-139, train_loss-0.0010
2024-12-17 12:38:47 - INFO - epoch-140, train_loss-0.0017
2024-12-17 12:39:05 - INFO - epoch-141, train_loss-0.0012
2024-12-17 12:39:23 - INFO - epoch-142, train_loss-0.0013
2024-12-17 12:39:40 - INFO - epoch-143, train_loss-0.0012
2024-12-17 12:39:58 - INFO - epoch-144, train_loss-0.0012
2024-12-17 12:40:16 - INFO - epoch-145, train_loss-0.0014
2024-12-17 12:40:33 - INFO - epoch-146, train_loss-0.0014
2024-12-17 12:40:51 - INFO - epoch-147, train_loss-0.0014
2024-12-17 12:41:09 - INFO - epoch-148, train_loss-0.0012
2024-12-17 12:41:26 - INFO - epoch-149, train_loss-0.0016
2024-12-17 12:41:44 - INFO - epoch-150, train_loss-0.0013
2024-12-17 12:42:01 - INFO - epoch-151, train_loss-0.0010
2024-12-17 12:42:19 - INFO - epoch-152, train_loss-0.0013
2024-12-17 12:42:37 - INFO - epoch-153, train_loss-0.0012
2024-12-17 12:42:54 - INFO - epoch-154, train_loss-0.0012
2024-12-17 12:43:12 - INFO - epoch-155, train_loss-0.0014
2024-12-17 12:43:30 - INFO - epoch-156, train_loss-0.0012
2024-12-17 12:43:48 - INFO - epoch-157, train_loss-0.0012
2024-12-17 12:44:05 - INFO - epoch-158, train_loss-0.0012
2024-12-17 12:44:23 - INFO - epoch-159, train_loss-0.0012
2024-12-17 12:44:40 - INFO - epoch-160, train_loss-0.0011
2024-12-17 12:44:58 - INFO - epoch-161, train_loss-0.0013
2024-12-17 12:45:16 - INFO - epoch-162, train_loss-0.0014
2024-12-17 12:45:33 - INFO - epoch-163, train_loss-0.0014
2024-12-17 12:45:51 - INFO - epoch-164, train_loss-0.0013
2024-12-17 12:46:09 - INFO - epoch-165, train_loss-0.0012
2024-12-17 12:46:26 - INFO - epoch-166, train_loss-0.0010
2024-12-17 12:46:44 - INFO - epoch-167, train_loss-0.0008
2024-12-17 12:47:02 - INFO - epoch-168, train_loss-0.0012
2024-12-17 12:47:19 - INFO - epoch-169, train_loss-0.0011
2024-12-17 12:47:37 - INFO - epoch-170, train_loss-0.0012
2024-12-17 12:47:55 - INFO - epoch-171, train_loss-0.0011
2024-12-17 12:48:12 - INFO - epoch-172, train_loss-0.0013
2024-12-17 12:48:30 - INFO - epoch-173, train_loss-0.0011
2024-12-17 12:48:47 - INFO - epoch-174, train_loss-0.0011
2024-12-17 12:49:05 - INFO - epoch-175, train_loss-0.0011
2024-12-17 12:49:23 - INFO - epoch-176, train_loss-0.0013
2024-12-17 12:49:40 - INFO - epoch-177, train_loss-0.0009
2024-12-17 12:49:58 - INFO - epoch-178, train_loss-0.0009
2024-12-17 12:50:16 - INFO - epoch-179, train_loss-0.0014
2024-12-17 12:50:33 - INFO - epoch-180, train_loss-0.0008
2024-12-17 12:50:51 - INFO - epoch-181, train_loss-0.0012
2024-12-17 12:51:09 - INFO - epoch-182, train_loss-0.0013
2024-12-17 12:51:26 - INFO - epoch-183, train_loss-0.0011
2024-12-17 12:51:44 - INFO - epoch-184, train_loss-0.0012
2024-12-17 12:52:02 - INFO - epoch-185, train_loss-0.0012
2024-12-17 12:52:19 - INFO - epoch-186, train_loss-0.0012
2024-12-17 12:52:37 - INFO - epoch-187, train_loss-0.0010
2024-12-17 12:52:54 - INFO - epoch-188, train_loss-0.0012
2024-12-17 12:53:12 - INFO - epoch-189, train_loss-0.0011
2024-12-17 12:53:30 - INFO - epoch-190, train_loss-0.0012
2024-12-17 12:53:47 - INFO - epoch-191, train_loss-0.0011
2024-12-17 12:54:05 - INFO - epoch-192, train_loss-0.0010
2024-12-17 12:54:23 - INFO - epoch-193, train_loss-0.0012
2024-12-17 12:54:40 - INFO - epoch-194, train_loss-0.0010
2024-12-17 12:54:58 - INFO - epoch-195, train_loss-0.0011
2024-12-17 12:55:16 - INFO - epoch-196, train_loss-0.0011
2024-12-17 12:55:33 - INFO - epoch-197, train_loss-0.0011
2024-12-17 12:55:51 - INFO - epoch-198, train_loss-0.0014
2024-12-17 12:56:09 - INFO - epoch-199, train_loss-0.0013
