2025-03-05 08:50:48 - INFO - train data: 13259
2025-03-05 08:50:48 - INFO - train unqiue data: 13259
2025-03-05 08:50:48 - INFO - valid data: 1474
2025-03-05 08:50:48 - INFO - valid unqiue data: 1474
2025-03-05 11:27:55 - INFO - epoch-35, train_mse_loss-0.0003235, train_kl_loss-0.0000000, val_mse_loss-0.0003390, val_kl_loss-0.0000000
2025-03-05 11:32:13 - INFO - epoch-36, train_mse_loss-0.0003235, train_kl_loss-0.0000000, val_mse_loss-0.0003450, val_kl_loss-0.0000000
2025-03-05 11:36:30 - INFO - epoch-37, train_mse_loss-0.0003235, train_kl_loss-0.0000000, val_mse_loss-0.0003540, val_kl_loss-0.0000000
2025-03-05 11:40:48 - INFO - epoch-38, train_mse_loss-0.0003235, train_kl_loss-0.0000000, val_mse_loss-0.0003570, val_kl_loss-0.0000000
2025-03-05 11:45:06 - INFO - epoch-39, train_mse_loss-0.0003234, train_kl_loss-0.0000000, val_mse_loss-0.0003609, val_kl_loss-0.0000000
2025-03-05 11:49:24 - INFO - epoch-40, train_mse_loss-0.0003234, train_kl_loss-0.0000000, val_mse_loss-0.0003603, val_kl_loss-0.0000000
2025-03-05 11:53:42 - INFO - epoch-41, train_mse_loss-0.0003234, train_kl_loss-0.0000000, val_mse_loss-0.0003654, val_kl_loss-0.0000000
2025-03-05 11:58:00 - INFO - epoch-42, train_mse_loss-0.0003234, train_kl_loss-0.0000000, val_mse_loss-0.0003635, val_kl_loss-0.0000000
2025-03-05 12:02:17 - INFO - epoch-43, train_mse_loss-0.0003234, train_kl_loss-0.0000000, val_mse_loss-0.0003626, val_kl_loss-0.0000000
2025-03-05 12:06:35 - INFO - epoch-44, train_mse_loss-0.0003234, train_kl_loss-0.0000000, val_mse_loss-0.0003625, val_kl_loss-0.0000000
2025-03-05 12:10:53 - INFO - epoch-45, train_mse_loss-0.0003233, train_kl_loss-0.0000000, val_mse_loss-0.0003623, val_kl_loss-0.0000000
2025-03-05 12:15:11 - INFO - epoch-46, train_mse_loss-0.0003233, train_kl_loss-0.0000000, val_mse_loss-0.0003592, val_kl_loss-0.0000000
2025-03-05 12:19:28 - INFO - epoch-47, train_mse_loss-0.0003233, train_kl_loss-0.0000000, val_mse_loss-0.0003593, val_kl_loss-0.0000000
2025-03-05 12:23:47 - INFO - epoch-48, train_mse_loss-0.0003233, train_kl_loss-0.0000000, val_mse_loss-0.0003603, val_kl_loss-0.0000000
2025-03-05 12:28:06 - INFO - epoch-49, train_mse_loss-0.0003233, train_kl_loss-0.0000000, val_mse_loss-0.0003591, val_kl_loss-0.0000000
2025-03-05 12:32:26 - INFO - epoch-50, train_mse_loss-0.0003233, train_kl_loss-0.0000000, val_mse_loss-0.0003604, val_kl_loss-0.0000000
