2025-02-22 11:10:30 - INFO - train data: 13259
2025-02-22 11:10:31 - INFO - train unqiue data: 13259
2025-02-22 11:10:31 - INFO - valid data: 1474
2025-02-22 11:10:31 - INFO - valid unqiue data: 1474
2025-02-22 17:05:07 - INFO - epoch-45, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 17:12:48 - INFO - epoch-46, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 17:20:30 - INFO - epoch-47, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 17:28:10 - INFO - epoch-48, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 17:35:51 - INFO - epoch-49, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 17:43:35 - INFO - epoch-50, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 17:51:18 - INFO - epoch-51, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 17:58:59 - INFO - epoch-52, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 18:06:42 - INFO - epoch-53, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 18:14:24 - INFO - epoch-54, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 18:22:05 - INFO - epoch-55, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 18:29:46 - INFO - epoch-56, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 18:37:27 - INFO - epoch-57, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 18:45:08 - INFO - epoch-58, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 18:52:51 - INFO - epoch-59, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 19:00:34 - INFO - epoch-60, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 19:08:15 - INFO - epoch-61, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 19:15:56 - INFO - epoch-62, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 19:23:38 - INFO - epoch-63, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 19:31:19 - INFO - epoch-64, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-22 19:39:00 - INFO - epoch-65, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
